2024-03-16-12-32-22, count:371, damage: 2002
2024-03-16-12-32-57, count:372, damage: 905
2024-03-16-12-33-28, count:373, damage: 2226
2024-03-16-12-34-04, count:374, damage: 782
2024-03-16-12-34-36, count:375, damage: 2172
2024-03-16-12-35-04, count:376, damage: 800
2024-03-16-12-35-35, count:377, damage: 186
2024-03-16-12-36-10, count:378, damage: 2279
2024-03-16-12-36-43, count:379, damage: 2080
2024-03-16-12-37-40, count:380, damage: 2223
2024-03-16-12-38-47, count:381, damage: 168
2024-03-16-12-39-15, count:382, damage: 206
2024-03-16-12-39-50, count:383, damage: 2012
2024-03-16-12-40-19, count:384, damage: 2214
2024-03-16-12-41-08, count:385, none damage
2024-03-16-12-45-27, count:390, damage: 802
2024-03-16-12-45-57, count:391, damage: 2272
2024-03-16-12-46-39, count:392, none damage
2024-03-16-12-47-36, count:393, damage: 2245
2024-03-16-13-05-23, count:399, damage: 176
2024-03-16-13-05-56, count:400, damage: 2253
2024-03-16-13-06-37, count:401, damage: 844
2024-03-16-13-07-08, count:402, damage: 2074
2024-03-16-13-07-40, count:403, damage: 800
2024-03-16-13-08-12, count:404, damage: 908
2024-03-16-13-08-50, count:405, damage: 2236
2024-03-16-13-09-22, count:406, damage: 820
2024-03-16-13-09-58, count:407, damage: 2011
2024-03-16-13-10-35, count:408, damage: 880
2024-03-16-13-11-10, count:409, damage: 868
2024-03-16-13-11-45, count:410, damage: 794
2024-03-16-13-12-20, count:411, damage: 188
2024-03-16-13-12-56, count:412, damage: 130
2024-03-16-13-13-31, count:413, damage: 1965
2024-03-16-13-14-00, count:414, damage: 896
2024-03-16-13-14-35, count:415, damage: 869
2024-03-16-13-15-08, count:416, damage: 2430
2024-03-16-13-15-42, count:417, damage: 887
2024-03-16-13-16-17, count:418, damage: 2165
2024-03-16-13-16-47, count:419, damage: 2124
2024-03-16-13-17-22, count:420, damage: 2278
2024-03-16-13-18-08, count:421, damage: 1912
2024-03-16-13-19-07, count:422, damage: 173
2024-03-16-13-19-48, count:423, damage: 181
2024-03-16-13-20-22, count:424, damage: 840
2024-03-16-13-20-52, count:425, damage: 1128
2024-03-16-13-39-48, count:426, damage:-2333 
2024-03-16-13-41-27, count:426, damage:-1996 
2024-03-16-13-42-10, count:427, damage:-192 
2024-03-16-13-42-55, count:428, damage:-176 
2024-03-16-13-43-26, count:429, damage:-2027 
2024-03-16-13-44-01, count:430, damage:-204 
2024-03-16-13-44-29, count:431, damage:-2004 
2024-03-16-13-45-11, count:432, damage:-1987 
2024-03-16-13-45-39, count:433, damage:-1972 
2024-03-16-13-46-12, count:434, damage:-2328 
2024-03-16-13-46-58, count:435, damage:230 
2024-03-16-13-50-01, count:436, damage:1527
2024-03-16-13-50-53, count:437, damage:-2186
2024-03-16-13-51-31, count:438, damage:-1915
2024-03-16-13-51-59, count:439, damage:-2432
2024-03-16-13-53-03, count:440, damage:-2153
2024-03-16-13-54-01, count:441, damage:-198
2024-03-16-13-54-29, count:442, damage:-2181
2024-03-16-13-55-15, count:443, damage:-2310
2024-03-16-13-56-37, count:444, damage:-2325
2024-03-16-13-57-39, count:445, damage:-167
